# shell-lint baseline — the WHOLE measurement this repo gates on, regenerated by
# "bin/shell-lint.sh --update-baseline". Hand edits are pointless: the next run of that
# command overwrites them. WHAT THIS IS: a debt ledger of findings that existed when the
# lane landed, so the lane starts green and reds on the NEXT one. Nothing here has been
# judged correct. Read the header of bin/shell-lint.sh for why it is keyed by count and
# not by line, and for what a FALLING count does and does not prove.
#
# A COUNT IS A FUNCTION OF THREE INPUTS, and all three are recorded here BECAUSE A CHANGE
# TO ANY OF THEM MOVES EVERY COUNT while nothing in the code moved:
#   "#cfg"  the analyser version, the exact invocation, the codes that analyser actually
#           emits over a fixed probe script, and every "# shellcheck" directive inside a
#           population file. A .shellcheckrc, a SHELLCHECK_OPTS, a file-scope disable or
#           a severity floor each drive counts to zero exactly as a fix does, and this
#           block is the only record that tells those apart.
#   "#pop"  the file population the counts were measured over.
#   rows    file<TAB>ShellCheck code<TAB>count.
# bin/shell-lint.sh re-derives all of it on every run and REFUSES to report on a tree that
# measures less than this file records. Narrowing it takes a typed --accept-shrink, the
# same way adding debt to it takes a typed --accept-new.
#cfg	analyser	ShellCheck 0.9.0
#cfg	invocation	SHELLCHECK_OPTS='' <analyser> --norc --format=gcc
#cfg	probe	SC2002
#cfg	probe	SC2005
#cfg	probe	SC2006
#cfg	probe	SC2016
#cfg	probe	SC2034
#cfg	probe	SC2046
#cfg	probe	SC2086
#cfg	probe	SC2218
#cfg	directive	bin/deploy-gate-inputs.selftest.sh	disable=SC1003	1
#cfg	directive	bin/deploy-gate-inputs.selftest.sh	disable=SC2015	1
#cfg	directive	bin/deploy-gate-inputs.selftest.sh	disable=SC2016	12
#cfg	directive	bin/deploy-gate-inputs.sh	disable=SC2034	2
#cfg	directive	bin/deploy.selftest.sh	source=bin/supervision.sh	1
#cfg	directive	bin/deploy.sh	disable=SC2016	1
#cfg	directive	bin/deploy.sh	disable=SC2086	2
#cfg	directive	bin/deploy.sh	source=bin/supervision.sh	1
#cfg	directive	bin/env-mirror-diff.mirror.sh	disable=SC1091	1
#cfg	directive	bin/env-mirror-diff.mirror.sh	disable=SC2034	1
#cfg	directive	bin/env-mirror-diff.mirror.sh	disable=SC2317	2
#cfg	directive	bin/env-mirror-diff.sh	disable=SC2016	6
#cfg	directive	bin/shell-lint.sh	disable=SC2064	1
#pop	bin/deploy-gate-inputs.selftest.sh
#pop	bin/deploy-gate-inputs.sh
#pop	bin/deploy.selftest.sh
#pop	bin/deploy.sh
#pop	bin/env-mirror-diff.mirror.sh
#pop	bin/env-mirror-diff.sh
#pop	bin/feed-stream-check.sh
#pop	bin/promote-cards-by-token
#pop	bin/promote-cards-by-token.selftest.sh
#pop	bin/shell-lint.sh
#pop	bin/supervision.sh
#pop	bin/vendor-pin-check.sh
bin/deploy.selftest.sh	SC2015	4
bin/deploy.selftest.sh	SC2016	18
bin/deploy.selftest.sh	SC2034	2
bin/deploy.selftest.sh	SC2086	2
bin/deploy.selftest.sh	SC2217	1
bin/deploy.selftest.sh	SC2317	60
bin/deploy.sh	SC1003	5
bin/deploy.sh	SC2016	3
bin/deploy.sh	SC2034	1
bin/deploy.sh	SC2295	7
bin/promote-cards-by-token	SC2015	1
bin/promote-cards-by-token	SC2016	1
bin/promote-cards-by-token.selftest.sh	SC2015	5
bin/promote-cards-by-token.selftest.sh	SC2034	1
bin/supervision.sh	SC2015	1
bin/vendor-pin-check.sh	SC2016	1
bin/vendor-pin-check.sh	SC2034	1
